,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1,UPDRS_1
,burstduration_2,burstinterval_2,Ku_2,CorrDim_2,PSD_3_to_7_2,PSD_12_to_30_2,PSD_20_to_40_2,levodopa_2,UPDRS_2
burstduration_2,1.0,-0.03213150817098823,-0.2871021324054965,-0.21598962557687487,0.3193719054208107,0.13993477131557874,0.2748753315606109,0.43856583514683783,-0.3608867257692383
burstinterval_2,-0.03213150817098823,1.0,0.07455548084861079,-0.14598493957441921,0.33775214791079544,0.2406236027194714,0.35085507370715474,0.3205980553478692,-0.447689971237351
Ku_2,-0.2871021324054965,0.07455548084861079,1.0,-0.02606579704268487,-0.25487953807348124,-0.17960517633921627,-0.24635780007806918,-0.40305975233189295,0.04008172630338739
CorrDim_2,-0.21598962557687487,-0.14598493957441921,-0.02606579704268487,1.0,-0.10979159890018449,0.02144669694820426,-0.13596957697606937,-0.0505488954617552,0.3370475447522165
PSD_3_to_7_2,0.3193719054208107,0.33775214791079544,-0.25487953807348124,-0.10979159890018449,1.0,0.8238209849245117,0.9864079869510238,0.7060741322229579,-0.07678738298034883
PSD_12_to_30_2,0.13993477131557874,0.2406236027194714,-0.17960517633921627,0.02144669694820426,0.8238209849245117,1.0,0.8434308149197998,0.45241426519242617,0.11140363414369307
PSD_20_to_40_2,0.2748753315606109,0.35085507370715474,-0.24635780007806918,-0.13596957697606937,0.9864079869510238,0.8434308149197998,1.0,0.6907039521775975,-0.051850264877684966
levodopa_2,0.43856583514683783,0.3205980553478692,-0.40305975233189295,-0.0505488954617552,0.7060741322229579,0.45241426519242617,0.6907039521775975,1.0,-0.28130344728672874
UPDRS_2,-0.3608867257692383,-0.447689971237351,0.04008172630338739,0.3370475447522165,-0.07678738298034883,0.11140363414369307,-0.051850264877684966,-0.28130344728672874,1.0
""
,burstduration_3,burstinterval_3,Ku_3,CorrDim_3,PSD_3_to_7_3,PSD_12_to_30_3,PSD_20_to_40_3,levodopa_3,UPDRS_3
burstduration_3,1.0,-0.655306050451576,-0.33452278435912963,-0.17486964752855153,0.08621192618175708,0.11887325043037829,0.11234411227825807,-0.08309138986482445,0.05602252853904845
burstinterval_3,-0.655306050451576,1.0,0.18204949717365115,0.09279718220852715,0.0012862907166704808,-0.09475094678582135,-0.036021540695309204,-0.013441503163706634,0.13390681426711773
Ku_3,-0.33452278435912963,0.18204949717365115,1.0,-0.2183956141876102,-0.523783883632798,-0.5040300895019859,-0.5281460333599691,0.44149365981361927,-0.34182499170429786
CorrDim_3,-0.17486964752855153,0.09279718220852715,-0.2183956141876102,1.0,0.39272033754462615,0.33742425363537865,0.4315813483581234,-0.24602366829714503,0.4789950845533184
PSD_3_to_7_3,0.08621192618175708,0.0012862907166704808,-0.523783883632798,0.39272033754462615,1.0,0.9328999793591943,0.9858425740966879,-0.8909610666434536,0.5558723633358907
PSD_12_to_30_3,0.11887325043037829,-0.09475094678582135,-0.5040300895019859,0.33742425363537865,0.9328999793591943,1.0,0.9319224689758339,-0.8934677771943267,0.4296947136336575
PSD_20_to_40_3,0.11234411227825807,-0.036021540695309204,-0.5281460333599691,0.4315813483581234,0.9858425740966879,0.9319224689758339,1.0,-0.8841856739779355,0.5659629673418469
levodopa_3,-0.08309138986482445,-0.013441503163706634,0.44149365981361927,-0.24602366829714503,-0.8909610666434536,-0.8934677771943267,-0.8841856739779355,1.0,-0.28130344728672874
UPDRS_3,0.05602252853904845,0.13390681426711773,-0.34182499170429786,0.4789950845533184,0.5558723633358907,0.4296947136336575,0.5659629673418469,-0.28130344728672874,1.0
""
,burstduration_4,burstinterval_4,Ku_4,CorrDim_4,PSD_3_to_7_4,PSD_12_to_30_4,PSD_20_to_40_4,levodopa_4,UPDRS_4
burstduration_4,1.0,-0.012228158508552625,0.5053511217681733,-0.2431886939273719,0.26254905573528664,0.23285601991495516,0.1784958733848658,-0.3330663007972278,0.27237322228956673
burstinterval_4,-0.012228158508552625,1.0,0.33013067650660183,0.2948567422534373,-0.03241253769468177,-0.06297288416428508,0.014560509639970047,0.14942189540088552,-0.02592953397378798
Ku_4,0.5053511217681733,0.33013067650660183,1.0,-0.04715158175493871,0.25490665613370644,0.20094382968068425,0.1248734047611244,-0.5562414150880853,0.24965509136928
CorrDim_4,-0.2431886939273719,0.2948567422534373,-0.04715158175493871,1.0,0.18393925393154878,0.20809710299881237,0.2140128803506415,-0.057386917262897456,0.1803112485509759
PSD_3_to_7_4,0.26254905573528664,-0.03241253769468177,0.25490665613370644,0.18393925393154878,1.0,0.9624513512693668,0.9559565738752691,-0.3978245921521544,0.9483637665695447
PSD_12_to_30_4,0.23285601991495516,-0.06297288416428508,0.20094382968068425,0.20809710299881237,0.9624513512693668,1.0,0.9437348069293147,-0.41163182904797907,0.9215449647442007
PSD_20_to_40_4,0.1784958733848658,0.014560509639970047,0.1248734047611244,0.2140128803506415,0.9559565738752691,0.9437348069293147,1.0,-0.17697746041287846,0.9320033607446202
levodopa_4,-0.3330663007972278,0.14942189540088552,-0.5562414150880853,-0.057386917262897456,-0.3978245921521544,-0.41163182904797907,-0.17697746041287846,1.0,-0.28130344728672874
UPDRS_4,0.27237322228956673,-0.02592953397378798,0.24965509136928,0.1803112485509759,0.9483637665695447,0.9215449647442007,0.9320033607446202,-0.28130344728672874,1.0
""
,burstduration_5,burstinterval_5,Ku_5,CorrDim_5,PSD_3_to_7_5,PSD_12_to_30_5,PSD_20_to_40_5,levodopa_5,UPDRS_5
burstduration_5,1.0,0.12987184523900572,-0.05534288059378993,0.22462338825017697,-0.1862171312858117,-0.18511318425175538,-0.2112909266859634,-0.2569914236776313,-0.010968265364310429
burstinterval_5,0.12987184523900572,1.0,-0.021236055495866716,0.4353699556364986,-0.2568295809296465,-0.2605095452435354,-0.2488294212926927,-0.22733562298412713,0.17050998143353632
Ku_5,-0.05534288059378993,-0.021236055495866716,1.0,-0.3104471034255561,0.516782700731559,0.531606015488367,0.5061911665844774,0.2199125167548334,-0.4983562609528649
CorrDim_5,0.22462338825017697,0.4353699556364986,-0.3104471034255561,1.0,-0.3749746860052102,-0.39294473617000264,-0.37119640637867596,-0.17147200022143852,0.32588685287225083
PSD_3_to_7_5,-0.1862171312858117,-0.2568295809296465,0.516782700731559,-0.3749746860052102,1.0,0.9751931218433451,0.9889612783153914,0.44518090669120547,-0.9191609977112761
PSD_12_to_30_5,-0.18511318425175538,-0.2605095452435354,0.531606015488367,-0.39294473617000264,0.9751931218433451,1.0,0.9668761507021504,0.41081758890944703,-0.9214181779216907
PSD_20_to_40_5,-0.2112909266859634,-0.2488294212926927,0.5061911665844774,-0.37119640637867596,0.9889612783153914,0.9668761507021504,1.0,0.5057227886822817,-0.9033490290068646
levodopa_5,-0.2569914236776313,-0.22733562298412713,0.2199125167548334,-0.17147200022143852,0.44518090669120547,0.41081758890944703,0.5057227886822817,1.0,-0.28130344728672874
