,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1
,burstduration_3,burstinterval_3,Ku_3,CorrDim_3,PSD_3_to_7_3,PSD_12_to_30_3,PSD_20_to_40_3,levodopa_3
burstduration_3,1.0,-0.3499799191146451,0.009931451736565972,-0.21523462543134642,-0.11295550798056062,-0.03756464897878195,-0.0918638405836291,0.2582508635931315
burstinterval_3,-0.3499799191146451,1.0,-0.014944033653292312,0.20199645616116416,0.18750038836086425,-0.003282227810154556,0.09781284526011862,-0.08090661838105645
Ku_3,0.009931451736565972,-0.014944033653292312,1.0,-0.042252004460616,-0.14064116196686033,0.1255082370629311,-0.00921466374319232,-0.05512518956770475
CorrDim_3,-0.21523462543134642,0.20199645616116416,-0.042252004460616,1.0,-0.07410573277757279,-0.07167995413340163,-0.11772532517730545,0.08195949003126954
PSD_3_to_7_3,-0.11295550798056062,0.18750038836086425,-0.14064116196686033,-0.07410573277757279,1.0,0.8877238298745441,0.9701244603488063,0.5902520679905812
PSD_12_to_30_3,-0.03756464897878195,-0.003282227810154556,0.1255082370629311,-0.07167995413340163,0.8877238298745441,1.0,0.9503893658598265,0.5871877269506741
PSD_20_to_40_3,-0.0918638405836291,0.09781284526011862,-0.00921466374319232,-0.11772532517730545,0.9701244603488063,0.9503893658598265,1.0,0.575593561282479
levodopa_3,0.2582508635931315,-0.08090661838105645,-0.05512518956770475,0.08195949003126954,0.5902520679905812,0.5871877269506741,0.575593561282479,1.0
""
,burstduration_4,burstinterval_4,Ku_4,CorrDim_4,PSD_3_to_7_4,PSD_12_to_30_4,PSD_20_to_40_4,levodopa_4
burstduration_4,1.0,-0.013675905014293895,0.1682151585399824,-0.2205515518803634,-0.3151523920943132,-0.18052146401609045,-0.37439588560287695,0.4554171768767182
burstinterval_4,-0.013675905014293895,1.0,0.06428082933115185,0.02226791669588199,0.005111528442506283,-0.009902555000169401,-0.06453616236946451,0.3749143877196949
Ku_4,0.1682151585399824,0.06428082933115185,1.0,-0.08089291231400444,-0.4277134753986395,-0.436806997750544,-0.40423559603202097,0.2278058670446105
CorrDim_4,-0.2205515518803634,0.02226791669588199,-0.08089291231400444,1.0,0.012369693122898928,0.06516862331368141,0.01387140230418784,-0.04906493057525374
PSD_3_to_7_4,-0.3151523920943132,0.005111528442506283,-0.4277134753986395,0.012369693122898928,1.0,0.9124018972327235,0.9724184971865911,-0.29216197521184156
PSD_12_to_30_4,-0.18052146401609045,-0.009902555000169401,-0.436806997750544,0.06516862331368141,0.9124018972327235,1.0,0.8699029351087719,-0.35154061865964714
PSD_20_to_40_4,-0.37439588560287695,-0.06453616236946451,-0.40423559603202097,0.01387140230418784,0.9724184971865911,0.8699029351087719,1.0,-0.34124540152137267
levodopa_4,0.4554171768767182,0.3749143877196949,0.2278058670446105,-0.04906493057525374,-0.29216197521184156,-0.35154061865964714,-0.34124540152137267,1.0
""
,burstduration_5,burstinterval_5,Ku_5,CorrDim_5,PSD_3_to_7_5,PSD_12_to_30_5,PSD_20_to_40_5,levodopa_5
burstduration_5,1.0,-0.13791672898480362,-0.36975426643114184,0.1625534847981573,-0.24698114123631168,-0.42206717940186317,-0.2442405164939482,0.22004559350048003
burstinterval_5,-0.13791672898480362,1.0,0.1094606099561656,-0.1690636644024749,0.3581614942484544,0.3059976624857878,0.35902246182574,-0.15546792627740302
Ku_5,-0.36975426643114184,0.1094606099561656,1.0,-0.3876887607492626,-0.3500044611019684,-0.05027347702649963,-0.3163331527938909,0.36338551057346646
CorrDim_5,0.1625534847981573,-0.1690636644024749,-0.3876887607492626,1.0,0.08969732655950687,0.01339500853039984,0.0937286152982473,-0.0371577028899352
PSD_3_to_7_5,-0.24698114123631168,0.3581614942484544,-0.3500044611019684,0.08969732655950687,1.0,0.8812657918329627,0.9893138407173591,-0.7655401366134961
PSD_12_to_30_5,-0.42206717940186317,0.3059976624857878,-0.05027347702649963,0.01339500853039984,0.8812657918329627,1.0,0.8890166251270106,-0.735259935053027
PSD_20_to_40_5,-0.2442405164939482,0.35902246182574,-0.3163331527938909,0.0937286152982473,0.9893138407173591,0.8890166251270106,1.0,-0.7460178995852744
