,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1,levodopa_1,UPDRS_1
Ku_16,-0.3070162587319989,0.545138075278049,1.0,-0.019323592506219314,0.691091635253906,0.6181301283213793,0.6970242004163808,0.16311245135688127,0.4452877988229101
CorrDim_16,-0.2157426456177839,-0.02674916258874,-0.019323592506219314,1.0,-0.17405880758635903,-0.12260736577242652,-0.154143749053231,-0.08728793206799686,0.12579949492395395
PSD_3_to_7_16,-0.3462344956095716,0.40367066067007545,0.691091635253906,-0.17405880758635903,1.0,0.8904244095792695,0.9837799218539128,-0.07640532550481509,0.2540162581358623
PSD_12_to_30_16,-0.22382084649504128,0.252695801305248,0.6181301283213793,-0.12260736577242652,0.8904244095792695,1.0,0.8886964110661046,-0.2815150613575403,0.41472939126491337
PSD_20_to_40_16,-0.3275872925028091,0.4301588077556619,0.6970242004163808,-0.154143749053231,0.9837799218539128,0.8886964110661046,1.0,-0.05069223937063568,0.29073773527675234
levodopa_16,-0.11459004506118456,0.25212994676023237,0.16311245135688127,-0.08728793206799686,-0.07640532550481509,-0.2815150613575403,-0.05069223937063568,1.0,-0.3429280161041217
UPDRS_16,0.03433598982314373,0.008876085241092672,0.4452877988229101,0.12579949492395395,0.2540162581358623,0.41472939126491337,0.29073773527675234,-0.3429280161041217,1.0
""
,burstduration_2,burstinterval_2,Ku_2,CorrDim_2,PSD_3_to_7_2,PSD_12_to_30_2,PSD_20_to_40_2,levodopa_2,UPDRS_2
burstduration_2,1.0,-0.20529115909507176,-0.09869131340592274,0.14413334979639153,-0.10982903008951048,-0.11272366213937253,-0.12124090369681328,-0.10315589289330991,-0.001930128539360861
burstinterval_2,-0.20529115909507176,1.0,0.36720786694655183,-0.31045006602015707,0.29281408692039584,0.2967142569993646,0.3085546623374091,0.18736769182970534,0.23813698313025597
Ku_2,-0.09869131340592274,0.36720786694655183,1.0,-0.7924838290952895,0.8078005228363038,0.7791564825467231,0.8350451689870111,0.7092286232382731,0.2554405528095981
CorrDim_2,0.14413334979639153,-0.31045006602015707,-0.7924838290952895,1.0,-0.8584532965044238,-0.8543846265288272,-0.8734596018344969,-0.7836860228893532,-0.024324811181434744
PSD_3_to_7_2,-0.10982903008951048,0.29281408692039584,0.8078005228363038,-0.8584532965044238,1.0,0.9873175819530543,0.9962662179453834,0.7747400366775714,0.145469199145341
