,burstduration_1,burstinterval_1,Ku_1,CorrDim_1,PSD_3_to_7_1,PSD_12_to_30_1,PSD_20_to_40_1
burstduration_2,1.0,-0.6258596778357272,-0.3771872701199773,0.07339480315561538,0.0004838121363714396,0.008160125449152386,-0.021741756452627898
burstinterval_2,-0.6258596778357272,1.0,0.6626781202899591,0.02553685642253081,-0.15985480075273506,-0.16326233146248215,-0.1382728931852663
Ku_2,-0.3771872701199773,0.6626781202899591,1.0,-0.061623689625708175,-0.019555219606466532,-0.0483828882871265,-0.0235781867311864
CorrDim_2,0.07339480315561538,0.02553685642253081,-0.061623689625708175,1.0,-0.6188842249296498,-0.6224456874406753,-0.6143482451733866
PSD_3_to_7_2,0.0004838121363714396,-0.15985480075273506,-0.019555219606466532,-0.6188842249296498,1.0,0.9730677290205343,0.9877622656211146
PSD_12_to_30_2,0.008160125449152386,-0.16326233146248215,-0.0483828882871265,-0.6224456874406753,0.9730677290205343,1.0,0.9708388461822205
PSD_20_to_40_2,-0.021741756452627898,-0.1382728931852663,-0.0235781867311864,-0.6143482451733866,0.9877622656211146,0.9708388461822205,1.0
""
,burstduration_3,burstinterval_3,Ku_3,CorrDim_3,PSD_3_to_7_3,PSD_12_to_30_3,PSD_20_to_40_3
burstduration_3,1.0,-0.6839908669984928,-0.5453785872669145,0.04726111026093419,-0.18757225688491605,-0.18959644251303304,-0.18794995513837337
burstinterval_3,-0.6839908669984928,1.0,0.593939298400534,0.24347079564893426,0.3656664079149055,0.3699606775453025,0.36766427084562625
Ku_3,-0.5453785872669145,0.593939298400534,1.0,0.18212385749897653,-0.22262205008997563,-0.22128576318762602,-0.23483209412879028
CorrDim_3,0.04726111026093419,0.24347079564893426,0.18212385749897653,1.0,-0.1401380228956897,-0.1547381445623312,-0.14344044158711985
PSD_3_to_7_3,-0.18757225688491605,0.3656664079149055,-0.22262205008997563,-0.1401380228956897,1.0,0.9905178295984276,0.9959752676886027
PSD_12_to_30_3,-0.18959644251303304,0.3699606775453025,-0.22128576318762602,-0.1547381445623312,0.9905178295984276,1.0,0.988668811797874
PSD_20_to_40_3,-0.18794995513837337,0.36766427084562625,-0.23483209412879028,-0.14344044158711985,0.9959752676886027,0.988668811797874,1.0
""
,burstduration_4,burstinterval_4,Ku_4,CorrDim_4,PSD_3_to_7_4,PSD_12_to_30_4,PSD_20_to_40_4
burstduration_4,1.0,-0.6702596472033637,-0.3468462181800334,0.15793564811666475,0.16459171370413947,0.1620172734089968,0.17641139541288706
burstinterval_4,-0.6702596472033637,1.0,0.4378969219228169,0.09591679305350802,-0.19515238526966786,-0.2018464718219621,-0.19324378522414698
Ku_4,-0.3468462181800334,0.4378969219228169,1.0,0.12223386645064602,-0.6436793326409199,-0.6457448932354898,-0.6471361709669621
CorrDim_4,0.15793564811666475,0.09591679305350802,0.12223386645064602,1.0,-0.3241599898819563,-0.3354485409939399,-0.32907355675506816
PSD_3_to_7_4,0.16459171370413947,-0.19515238526966786,-0.6436793326409199,-0.3241599898819563,1.0,0.992912930259954,0.9990784840019203
PSD_12_to_30_4,0.1620172734089968,-0.2018464718219621,-0.6457448932354898,-0.3354485409939399,0.992912930259954,1.0,0.9924404130706165
PSD_20_to_40_4,0.17641139541288706,-0.19324378522414698,-0.6471361709669621,-0.32907355675506816,0.9990784840019203,0.9924404130706165,1.0
""
,burstduration_5,burstinterval_5,Ku_5,CorrDim_5,PSD_3_to_7_5,PSD_12_to_30_5,PSD_20_to_40_5
burstduration_5,1.0,-0.6892295837983518,-0.2627207956387081,0.013669285336331044,-0.05771461297661647,-0.07613323736153979,-0.07719630709959602
burstinterval_5,-0.6892295837983518,1.0,0.2875151806623833,-0.03967205591751226,0.3672296475089038,0.36893928359857325,0.35763554682657117
Ku_5,-0.2627207956387081,0.2875151806623833,1.0,-0.31096901006514027,0.33204084781532184,0.3356021698784798,0.35236111242849777
CorrDim_5,0.013669285336331044,-0.03967205591751226,-0.31096901006514027,1.0,-0.447793254043124,-0.4472573652683178,-0.45725821115199244
PSD_3_to_7_5,-0.05771461297661647,0.3672296475089038,0.33204084781532184,-0.447793254043124,1.0,0.993512791660815,0.9903881467416032
PSD_12_to_30_5,-0.07613323736153979,0.36893928359857325,0.3356021698784798,-0.4472573652683178,0.993512791660815,1.0,0.9865491351120518
PSD_20_to_40_5,-0.07719630709959602,0.35763554682657117,0.35236111242849777,-0.45725821115199244,0.9903881467416032,0.9865491351120518,1.0
""
,burstduration_6,burstinterval_6,Ku_6,CorrDim_6,PSD_3_to_7_6,PSD_12_to_30_6,PSD_20_to_40_6
burstduration_6,1.0,-0.07510061011314183,0.14390170408944053,0.03606775343252332,0.04705384563189353,0.14792015801365754,0.08590745606171137
burstinterval_6,-0.07510061011314183,1.0,-0.140537386118521,0.2150913324905153,0.5491247043074867,0.5789930084617544,0.5371756825995735
Ku_6,0.14390170408944053,-0.140537386118521,1.0,-0.32588991472603945,-0.5545942389809532,-0.48314062880227376,-0.5406470336744308
